species	V0	V1	V2	V3	V4	V5	V6
Pleurodeles_walt	0.104	-2.263	0	0.000834283	107.919445	0.553076316	-1.3552346
Capreolus_capreolus	0.694	-0.365	0.9137543	0.00469016	64.6514	0.701349738	2.4727316
Microcebus_murinus	0.724	-0.323	0.24489796	0.003801204	28.5159804	0.526748184	0.7826396
Cavia_porcellus	0.866	-0.144	0.29232459	0.001966108	34.98627114	0.485471037	1.1147700
Mus_musculus	1.094	0.090	0.12684615	0.001230761	22.62412616	0.526253882	0.3968727
Lepus_europaeus	1.198	0.181	0.52979847	0.00517246	49.7288	0.668795497	2.3585027
Oryctolagus_cuniculus	1.724	0.545	0.28426461	0.00401476	79.9143	0.661216357	2.2843655
Podarcis_muralis	0.058	-2.847	0	0.000864162	11.95338603	0.404075493	-2.3559456
Zootoca_vivipara	0.048	-3.037	0	0.003264965	10.45412684	0.442348205	-1.9815718
Varanus_exanthematicus	0.0490	-0.713	0.04525424	0.001232928	36.29314955	0.43520731	-2.0961193
Varanus_niloticus	0.058	-2.847	0.03805003	0.001394133	38.16383708	0.470869021	-1.7472856
Chelodina_oblonga	0.034	-3.381	0	0.001208368	24.27796702	0.56336775	-2.4491112
Trachemys_scripta	0.051	-2.976	0	0.001196311	27.13462106	0.516404884	-2.1804105
Pelodiscus_sinensis	0.040	-3.219	0	0.001185422	20.92560266	0.497140919	-2.3688457
Crocodylus_niloticus	0.034	-3.381	0.05218821	0.000699242	34.60152723	0.485430779	-1.0983642
Caiuajara_dobruskii	NA	NA	NA	0.000599497	NA	NA	NA
Anas_platyrhynchos	1.390	0.329	0.22331333	0.002283169	24.2913684	0.509126729	2.3778266
